Device: mps
[teacher] Epoch   8 | val_loss=0.8529 | val_acc=0.5556
[teacher] Epoch   9 | val_loss=0.8391 | val_acc=0.5726
[teacher] Epoch  10 | val_loss=0.5156 | val_acc=0.8034
[teacher] Epoch  11 | val_loss=0.3490 | val_acc=0.8718
[teacher] Epoch  12 | val_loss=0.4303 | val_acc=0.8547
[teacher] Epoch  13 | val_loss=0.4298 | val_acc=0.8376
[teacher] Epoch  14 | val_loss=0.3682 | val_acc=0.8974
[teacher] Epoch  15 | val_loss=0.4078 | val_acc=0.8803
[teacher] Epoch  16 | val_loss=0.3697 | val_acc=0.8632
[teacher] Epoch  17 | val_loss=0.4529 | val_acc=0.8803
[teacher] Epoch  18 | val_loss=0.2796 | val_acc=0.9316
[teacher] Epoch  19 | val_loss=0.2747 | val_acc=0.9145
[teacher] Epoch  20 | val_loss=0.2882 | val_acc=0.9231
[teacher] Epoch  21 | val_loss=0.3008 | val_acc=0.9145
[teacher] Epoch  22 | val_loss=0.2711 | val_acc=0.9402
[teacher] Epoch  23 | val_loss=0.2671 | val_acc=0.9316
[teacher] Epoch  24 | val_loss=0.2589 | val_acc=0.9316
[teacher] Epoch  25 | val_loss=0.3961 | val_acc=0.9145
[teacher] Epoch  26 | val_loss=0.2388 | val_acc=0.9316
[teacher] Epoch  27 | val_loss=0.2778 | val_acc=0.9145
[teacher] Epoch  28 | val_loss=0.3060 | val_acc=0.9316
[teacher] Epoch  29 | val_loss=0.3337 | val_acc=0.9231
[teacher] Epoch  30 | val_loss=0.3340 | val_acc=0.9316
[teacher] Epoch  31 | val_loss=0.3040 | val_acc=0.9316
[teacher] Epoch  32 | val_loss=0.3364 | val_acc=0.9145
[teacher] Epoch  33 | val_loss=0.3431 | val_acc=0.9145
[teacher] Epoch  34 | val_loss=0.2770 | val_acc=0.9402
[teacher] Epoch  35 | val_loss=0.3437 | val_acc=0.9231
[teacher] Epoch  36 | val_loss=0.3319 | val_acc=0.9145
[teacher] Epoch  37 | val_loss=0.3203 | val_acc=0.9231
[teacher] Epoch  38 | val_loss=0.3470 | val_acc=0.9145
[teacher] Epoch  39 | val_loss=0.3419 | val_acc=0.9231
[teacher] Epoch  40 | val_loss=0.3522 | val_acc=0.9231
[teacher] Epoch  41 | val_loss=0.3426 | val_acc=0.9231
[teacher] Early stopping at epoch 41
[teacher] Epoch   1 | val_loss=0.9914 | val_acc=0.5556
[teacher] Epoch   2 | val_loss=0.9638 | val_acc=0.5556
[teacher] Epoch   3 | val_loss=0.9392 | val_acc=0.5556
[teacher] Epoch   4 | val_loss=0.9150 | val_acc=0.5726
[teacher] Epoch   5 | val_loss=0.8986 | val_acc=0.5726
[teacher] Epoch   6 | val_loss=0.8945 | val_acc=0.5726
[teacher] Epoch   7 | val_loss=0.8813 | val_acc=0.5641
[teacher] Epoch   8 | val_loss=0.8487 | val_acc=0.5812
[teacher] Epoch   9 | val_loss=0.8486 | val_acc=0.5726
[teacher] Epoch  10 | val_loss=0.5235 | val_acc=0.7949
[teacher] Epoch  11 | val_loss=0.3441 | val_acc=0.8718
[teacher] Epoch  12 | val_loss=0.3859 | val_acc=0.8462
[teacher] Epoch  13 | val_loss=0.5565 | val_acc=0.8120
[teacher] Epoch  14 | val_loss=0.3497 | val_acc=0.8803
[teacher] Epoch  15 | val_loss=0.4493 | val_acc=0.8632
[teacher] Epoch  16 | val_loss=0.4676 | val_acc=0.8120
[teacher] Epoch  17 | val_loss=0.2590 | val_acc=0.9316
[teacher] Epoch  18 | val_loss=0.3680 | val_acc=0.8889
[teacher] Epoch  19 | val_loss=0.4186 | val_acc=0.8974
[teacher] Epoch  20 | val_loss=0.5308 | val_acc=0.8632
[teacher] Epoch  21 | val_loss=0.4642 | val_acc=0.8974
[teacher] Epoch  22 | val_loss=0.3892 | val_acc=0.9145
[teacher] Epoch  23 | val_loss=0.4875 | val_acc=0.8974
[teacher] Epoch  24 | val_loss=0.4161 | val_acc=0.9060
[teacher] Epoch  25 | val_loss=0.4963 | val_acc=0.8803
[teacher] Epoch  26 | val_loss=0.4152 | val_acc=0.9060
[teacher] Epoch  27 | val_loss=0.4067 | val_acc=0.8889
[teacher] Epoch  28 | val_loss=0.4101 | val_acc=0.8803
[teacher] Epoch  29 | val_loss=0.3885 | val_acc=0.8889
[teacher] Epoch  30 | val_loss=0.3809 | val_acc=0.8889
[teacher] Epoch  31 | val_loss=0.3765 | val_acc=0.9316
[teacher] Epoch  32 | val_loss=0.2986 | val_acc=0.9316
[teacher] Early stopping at epoch 32
T=2 alpha=0.3 val_acc=0.8632
T=2 alpha=0.5 val_acc=0.8889
T=2 alpha=0.7 val_acc=0.8462
T=4 alpha=0.3 val_acc=0.8632
T=4 alpha=0.5 val_acc=0.8376
T=4 alpha=0.7 val_acc=0.8889
T=6 alpha=0.3 val_acc=0.8547
T=6 alpha=0.5 val_acc=0.8547
T=6 alpha=0.7 val_acc=0.8462
T=8 alpha=0.3 val_acc=0.8547
T=8 alpha=0.5 val_acc=0.8803
T=8 alpha=0.7 val_acc=0.8718

Best: T=2, alpha=0.5, val_acc=0.8889
[student-baseline] Epoch   1 | val_loss=0.8770 | val_acc=0.6667
[student-baseline] Epoch   2 | val_loss=0.7565 | val_acc=0.7436
[student-baseline] Epoch   3 | val_loss=0.6599 | val_acc=0.7692
[student-baseline] Epoch   4 | val_loss=0.5764 | val_acc=0.7863
[student-baseline] Epoch   5 | val_loss=0.5217 | val_acc=0.7949
[student-baseline] Epoch   6 | val_loss=0.5092 | val_acc=0.7778
[student-baseline] Epoch   7 | val_loss=0.5015 | val_acc=0.7863
[student-baseline] Epoch   8 | val_loss=0.4590 | val_acc=0.7778
[student-baseline] Epoch   9 | val_loss=0.4354 | val_acc=0.7949
[student-baseline] Epoch  10 | val_loss=0.4548 | val_acc=0.8034
[student-baseline] Epoch  11 | val_loss=0.4115 | val_acc=0.8291
[student-baseline] Epoch  12 | val_loss=0.3755 | val_acc=0.8376
[student-baseline] Epoch  13 | val_loss=0.3502 | val_acc=0.8205
[student-baseline] Epoch  14 | val_loss=0.3057 | val_acc=0.8974
[student-baseline] Epoch  15 | val_loss=0.3762 | val_acc=0.8718
[student-baseline] Epoch  16 | val_loss=0.3817 | val_acc=0.8462
[student-baseline] Epoch  17 | val_loss=0.4259 | val_acc=0.8291
[student-baseline] Epoch  18 | val_loss=0.4275 | val_acc=0.8632
[student-baseline] Epoch  19 | val_loss=0.3931 | val_acc=0.8547
[student-baseline] Epoch  20 | val_loss=0.3554 | val_acc=0.8547
[student-baseline] Epoch  21 | val_loss=0.3597 | val_acc=0.8462
[student-baseline] Epoch  22 | val_loss=0.3345 | val_acc=0.8803
[student-baseline] Epoch  23 | val_loss=0.2937 | val_acc=0.8974
[student-baseline] Epoch  24 | val_loss=0.3494 | val_acc=0.8632
[student-baseline] Epoch  25 | val_loss=0.3534 | val_acc=0.8803
[student-baseline] Epoch  26 | val_loss=0.3317 | val_acc=0.8803
[student-baseline] Epoch  27 | val_loss=0.3683 | val_acc=0.8803
[student-baseline] Epoch  28 | val_loss=0.3394 | val_acc=0.8974
[student-baseline] Epoch  29 | val_loss=0.3504 | val_acc=0.8803
[student-baseline] Epoch  30 | val_loss=0.3340 | val_acc=0.8803
[student-baseline] Epoch  31 | val_loss=0.3370 | val_acc=0.8718
[student-baseline] Epoch  32 | val_loss=0.3378 | val_acc=0.8718
[student-baseline] Epoch  33 | val_loss=0.3453 | val_acc=0.8803
[student-baseline] Epoch  34 | val_loss=0.3415 | val_acc=0.8718
[student-baseline] Epoch  35 | val_loss=0.3437 | val_acc=0.8803
[student-baseline] Epoch  36 | val_loss=0.3531 | val_acc=0.8889
[student-baseline] Epoch  37 | val_loss=0.3679 | val_acc=0.8803
[student-baseline] Epoch  38 | val_loss=0.3634 | val_acc=0.8803
[student-baseline] Early stopping at epoch 38
[student-baseline] Epoch   1 | val_loss=0.9208 | val_acc=0.6581
[student-baseline] Epoch   2 | val_loss=0.7670 | val_acc=0.7607
[student-baseline] Epoch   3 | val_loss=0.6665 | val_acc=0.7521
[student-baseline] Epoch   4 | val_loss=0.6348 | val_acc=0.7179
[student-baseline] Epoch   5 | val_loss=0.5712 | val_acc=0.7607
[student-baseline] Epoch   6 | val_loss=0.5640 | val_acc=0.7436
[student-baseline] Epoch   7 | val_loss=0.5936 | val_acc=0.7607
[student-baseline] Epoch   8 | val_loss=0.5548 | val_acc=0.7350
[student-baseline] Epoch   9 | val_loss=0.5092 | val_acc=0.7607
[student-baseline] Epoch  10 | val_loss=0.5370 | val_acc=0.7607
[student-baseline] Epoch  11 | val_loss=0.4886 | val_acc=0.7778
[student-baseline] Epoch  12 | val_loss=0.4600 | val_acc=0.8034
[student-baseline] Epoch  13 | val_loss=0.4831 | val_acc=0.7863
[student-baseline] Epoch  14 | val_loss=0.4455 | val_acc=0.8034
[student-baseline] Epoch  15 | val_loss=0.3693 | val_acc=0.8547
[student-baseline] Epoch  16 | val_loss=0.3790 | val_acc=0.8462
[student-baseline] Epoch  17 | val_loss=0.3508 | val_acc=0.8462
[student-baseline] Epoch  18 | val_loss=0.3115 | val_acc=0.8718
[student-baseline] Epoch  19 | val_loss=0.2642 | val_acc=0.8889
[student-baseline] Epoch  20 | val_loss=0.2808 | val_acc=0.8803
[student-baseline] Epoch  21 | val_loss=0.2778 | val_acc=0.8889
[student-baseline] Epoch  22 | val_loss=0.2616 | val_acc=0.8889
[student-baseline] Epoch  23 | val_loss=0.2704 | val_acc=0.9060
[student-baseline] Epoch  24 | val_loss=0.2457 | val_acc=0.9231
[student-baseline] Epoch  25 | val_loss=0.2290 | val_acc=0.9231
[student-baseline] Epoch  26 | val_loss=0.2474 | val_acc=0.9231
[student-baseline] Epoch  27 | val_loss=0.3001 | val_acc=0.9573
[student-baseline] Epoch  28 | val_loss=0.2509 | val_acc=0.9316
[student-baseline] Epoch  29 | val_loss=0.2808 | val_acc=0.9145
[student-baseline] Epoch  30 | val_loss=0.2986 | val_acc=0.9145
[student-baseline] Epoch  31 | val_loss=0.2462 | val_acc=0.9402
[student-baseline] Epoch  32 | val_loss=0.2559 | val_acc=0.9487
[student-baseline] Epoch  33 | val_loss=0.2559 | val_acc=0.9402
[student-baseline] Epoch  34 | val_loss=0.2288 | val_acc=0.9402
[student-baseline] Epoch  35 | val_loss=0.2498 | val_acc=0.9231
[student-baseline] Epoch  36 | val_loss=0.2631 | val_acc=0.9231
[student-baseline] Epoch  37 | val_loss=0.2583 | val_acc=0.9316
[student-baseline] Epoch  38 | val_loss=0.2790 | val_acc=0.9316
[student-baseline] Epoch  39 | val_loss=0.2763 | val_acc=0.9316
[student-baseline] Epoch  40 | val_loss=0.3167 | val_acc=0.9145
[student-baseline] Epoch  41 | val_loss=0.3036 | val_acc=0.9402
[student-baseline] Epoch  42 | val_loss=0.2787 | val_acc=0.9231
[student-baseline] Epoch  43 | val_loss=0.2854 | val_acc=0.9316
[student-baseline] Epoch  44 | val_loss=0.2923 | val_acc=0.9316
[student-baseline] Epoch  45 | val_loss=0.2908 | val_acc=0.9316
[student-baseline] Epoch  46 | val_loss=0.3075 | val_acc=0.9402
[student-baseline] Epoch  47 | val_loss=0.3101 | val_acc=0.9402
[student-baseline] Epoch  48 | val_loss=0.3110 | val_acc=0.9316
[student-baseline] Epoch  49 | val_loss=0.2964 | val_acc=0.9316
[student-baseline] Early stopping at epoch 49
[student-baseline] Epoch   1 | val_loss=0.8923 | val_acc=0.5641
[student-baseline] Epoch   2 | val_loss=0.7808 | val_acc=0.6410
[student-baseline] Epoch   3 | val_loss=0.7557 | val_acc=0.5983
[student-baseline] Epoch   4 | val_loss=0.7153 | val_acc=0.6154
[student-baseline] Epoch   5 | val_loss=0.5827 | val_acc=0.7607
[student-baseline] Epoch   6 | val_loss=0.5988 | val_acc=0.7265
[student-baseline] Epoch   7 | val_loss=0.5391 | val_acc=0.7607
[student-baseline] Epoch   8 | val_loss=0.5839 | val_acc=0.7521
[student-baseline] Epoch   9 | val_loss=0.6102 | val_acc=0.7436
[student-baseline] Epoch  10 | val_loss=0.5354 | val_acc=0.7778
[student-baseline] Epoch  11 | val_loss=0.5190 | val_acc=0.7949
[student-baseline] Epoch  12 | val_loss=0.5634 | val_acc=0.7521
[student-baseline] Epoch  13 | val_loss=0.5220 | val_acc=0.8034
[student-baseline] Epoch  14 | val_loss=0.4347 | val_acc=0.8205
[student-baseline] Epoch  15 | val_loss=0.3588 | val_acc=0.8974
[student-baseline] Epoch  16 | val_loss=0.3608 | val_acc=0.8803
[student-baseline] Epoch  17 | val_loss=0.3796 | val_acc=0.8547
[student-baseline] Epoch  18 | val_loss=0.3212 | val_acc=0.8718
[student-baseline] Epoch  19 | val_loss=0.3171 | val_acc=0.8889
[student-baseline] Epoch  20 | val_loss=0.3628 | val_acc=0.8889
[student-baseline] Epoch  21 | val_loss=0.3194 | val_acc=0.8889
[student-baseline] Epoch  22 | val_loss=0.3588 | val_acc=0.8547
[student-baseline] Epoch  23 | val_loss=0.3344 | val_acc=0.8889
[student-baseline] Epoch  24 | val_loss=0.3556 | val_acc=0.8718
[student-baseline] Epoch  25 | val_loss=0.3793 | val_acc=0.8632
[student-baseline] Epoch  26 | val_loss=0.3742 | val_acc=0.8718
[student-baseline] Epoch  27 | val_loss=0.3743 | val_acc=0.8718
[student-baseline] Epoch  28 | val_loss=0.3578 | val_acc=0.8803
[student-baseline] Epoch  29 | val_loss=0.3569 | val_acc=0.8718
[student-baseline] Epoch  30 | val_loss=0.3694 | val_acc=0.8718
[student-baseline] Epoch  31 | val_loss=0.3957 | val_acc=0.8803
[student-baseline] Epoch  32 | val_loss=0.3859 | val_acc=0.8803
[student-baseline] Epoch  33 | val_loss=0.3820 | val_acc=0.8803
[student-baseline] Epoch  34 | val_loss=0.3818 | val_acc=0.8803
[student-baseline] Early stopping at epoch 34
[student-baseline] Epoch   1 | val_loss=0.8732 | val_acc=0.6325
[student-baseline] Epoch   2 | val_loss=0.7806 | val_acc=0.6923
[student-baseline] Epoch   3 | val_loss=0.6091 | val_acc=0.7436
[student-baseline] Epoch   4 | val_loss=0.5770 | val_acc=0.7521
[student-baseline] Epoch   5 | val_loss=0.5672 | val_acc=0.7521
[student-baseline] Epoch   6 | val_loss=0.5711 | val_acc=0.7521
[student-baseline] Epoch   7 | val_loss=0.5939 | val_acc=0.7436
[student-baseline] Epoch   8 | val_loss=0.5111 | val_acc=0.7863
[student-baseline] Epoch   9 | val_loss=0.5108 | val_acc=0.7863
[student-baseline] Epoch  10 | val_loss=0.4405 | val_acc=0.8205
[student-baseline] Epoch  11 | val_loss=0.3724 | val_acc=0.8376
[student-baseline] Epoch  12 | val_loss=0.4123 | val_acc=0.8034
[student-baseline] Epoch  13 | val_loss=0.3503 | val_acc=0.8974
[student-baseline] Epoch  14 | val_loss=0.3062 | val_acc=0.9145
[student-baseline] Epoch  15 | val_loss=0.2881 | val_acc=0.8974
[student-baseline] Epoch  16 | val_loss=0.3566 | val_acc=0.8803
[student-baseline] Epoch  17 | val_loss=0.2827 | val_acc=0.8974
[student-baseline] Epoch  18 | val_loss=0.3134 | val_acc=0.8889
[student-baseline] Epoch  19 | val_loss=0.3708 | val_acc=0.8974
[student-baseline] Epoch  20 | val_loss=0.2422 | val_acc=0.9145
[student-baseline] Epoch  21 | val_loss=0.2552 | val_acc=0.9145
[student-baseline] Epoch  22 | val_loss=0.2265 | val_acc=0.9145
[student-baseline] Epoch  23 | val_loss=0.2402 | val_acc=0.9231
[student-baseline] Epoch  24 | val_loss=0.2657 | val_acc=0.8889
[student-baseline] Epoch  25 | val_loss=0.2533 | val_acc=0.9060
[student-baseline] Epoch  26 | val_loss=0.2503 | val_acc=0.9231
[student-baseline] Epoch  27 | val_loss=0.3053 | val_acc=0.8889
[student-baseline] Epoch  28 | val_loss=0.2791 | val_acc=0.8974
[student-baseline] Epoch  29 | val_loss=0.2728 | val_acc=0.9231
[student-baseline] Epoch  30 | val_loss=0.2949 | val_acc=0.8889
[student-baseline] Epoch  31 | val_loss=0.2864 | val_acc=0.9145
[student-baseline] Epoch  32 | val_loss=0.2855 | val_acc=0.9231
[student-baseline] Epoch  33 | val_loss=0.2953 | val_acc=0.9231
[student-baseline] Epoch  34 | val_loss=0.2802 | val_acc=0.8974
[student-baseline] Epoch  35 | val_loss=0.2796 | val_acc=0.8974
[student-baseline] Epoch  36 | val_loss=0.2890 | val_acc=0.8974
