accuracy,precision,recall,f1,seed,arm
0.8290598290598291,0.8247549019607844,0.8007820136852395,0.8109666169367662,0,teacher
0.8376068376068376,0.8172459639126307,0.8411045943304009,0.8244313805777349,1,teacher
0.7692307692307693,0.7899610136452241,0.7202346041055718,0.73795306672019,2,teacher
0.8632478632478633,0.845959595959596,0.8906810035842293,0.8648689273689274,3,teacher
0.8803418803418803,0.8671400187003272,0.9007820136852395,0.8820847945121201,4,teacher
0.8376068376068376,0.8488562736175771,0.8294884327142391,0.8385565052231719,0,student_baseline
0.8205128205128205,0.8182884748102138,0.8079830563701531,0.8124084536513915,1,student_baseline
0.8034188034188035,0.7886473429951691,0.803584229390681,0.7941356808128587,2,student_baseline
0.8290598290598291,0.8239933582399336,0.8016291951775822,0.8046953272961145,3,student_baseline
0.8461538461538461,0.8430180787360406,0.8461550993809057,0.8441143509179452,4,student_baseline
0.8205128205128205,0.8212377397160006,0.8022808732486152,0.8053063415382256,0,student_kd
0.8205128205128205,0.8203358638141247,0.813685239491691,0.8155437186555773,1,student_kd
0.7948717948717948,0.802062062062062,0.7581948517432388,0.7759398496240602,2,student_kd
0.8376068376068376,0.8460614727424396,0.8119582926034538,0.8269581409366356,3,student_kd
0.8290598290598291,0.8311355311355312,0.8187357445421961,0.8226106874071837,4,student_kd
0.8205128205128205,0.8113746157224418,0.7965786901270772,0.797791580400276,0,student_kd_nodenoise
0.811965811965812,0.7893318965517242,0.814336917562724,0.7992229992229992,1,student_kd_nodenoise
0.811965811965812,0.8109907120743034,0.7970185728250244,0.8036885768718408,2,student_kd_nodenoise
0.8034188034188035,0.7828272086336602,0.7919680677745194,0.787216493194235,3,student_kd_nodenoise
0.8205128205128205,0.8171948141068058,0.819387422613229,0.8178291256596776,4,student_kd_nodenoise
