T,alpha,val_acc
2,0.3,0.8632478632478633
2,0.5,0.8888888888888888
2,0.7,0.8461538461538461
4,0.3,0.8632478632478633
4,0.5,0.8376068376068376
4,0.7,0.8888888888888888
6,0.3,0.8547008547008547
6,0.5,0.8547008547008547
6,0.7,0.8461538461538461
8,0.3,0.8547008547008547
8,0.5,0.8803418803418803
8,0.7,0.8717948717948718
